domain,outcome,http_status,protocol_version,capabilities,catalogue_searchable,blockers,top_blocker
shopify.com,no-profile,404,,,,,
myshopify.com,no-profile,404,,,,,
barnesandnoble.com,checked,200,2026-08-25,9,yes,0,
nanit.com,checked,200,2026-08-25,8,yes,0,
wyze.com,checked,200,2026-08-25,8,yes,0,
boat-lifestyle.com,checked,200,2026-08-25,8,yes,0,
discoverpilgrim.com,checked,200,2026-08-25,9,yes,0,
nishatlinen.com,checked,200,2026-08-25,9,yes,0,
jbhifi.com.au,checked,200,2026-08-25,8,yes,0,
saya.pk,checked,200,2026-08-25,9,yes,0,
zellbury.com,checked,200,2026-08-25,9,yes,0,
mova-tech.com,checked,200,2026-08-25,9,yes,0,
botslab.com,checked,200,2026-08-25,8,yes,0,
harpercollins.com,checked,200,2026-08-25,9,yes,0,
fashionnova.com,checked,200,2026-08-25,8,yes,0,
libas.in,checked,200,2026-08-25,9,yes,0,
august.com,checked,200,2026-08-25,9,yes,0,
sensibo.com,checked,200,2026-08-25,9,yes,0,
threadless.com,checked,200,2026-08-25,8,yes,0,
aosulife.com,checked,200,2026-08-25,8,yes,0,
ezlo.com,checked,200,2026-08-25,9,yes,0,
indigo.ca,checked,200,2026-08-25,8,yes,0,
daisonet.com,checked,200,2026-08-25,9,yes,0,
junaidjamshed.com,checked,200,2026-08-25,8,yes,0,
worldofbooks.com,checked,200,2026-08-25,8,yes,0,
chiikawamarket.jp,checked,200,2026-08-25,8,yes,0,
palmonas.com,checked,200,2026-08-25,8,yes,0,
stanley1913.com,checked,200,2026-08-25,8,yes,0,
bodybuilding.com,checked,200,2026-08-25,8,yes,0,
withings.com,checked,200,2026-08-25,9,yes,0,
nixplay.com,checked,200,2026-08-25,8,yes,0,
kunasystems.com,checked,200,2026-08-25,8,yes,0,
native-instruments.com,checked,200,2026-08-25,9,yes,0,
morenutrition.de,checked,200,2026-08-25,8,yes,0,
cupshe.com,checked,200,2026-08-25,8,yes,0,
trouver-tech.com,checked,200,2026-08-25,9,yes,0,
nanoleaf.me,checked,200,2026-08-25,8,yes,0,
brilliant.tech,checked,200,2026-08-25,9,yes,0,
momcozy.com,checked,200,2026-08-25,8,yes,0,
lockly.com,checked,200,2026-08-25,8,yes,0,
society6.com,checked,200,2026-08-25,9,yes,0,
glitchproductions.store,checked,200,2026-08-25,8,yes,0,
pepstores.com,checked,200,2026-08-25,9,yes,0,
qikify.com,checked,200,2026-08-25,9,yes,0,
limelight.pk,checked,200,2026-08-25,8,yes,0,
stylo.pk,checked,200,2026-08-25,9,yes,0,
edenrobe.com,checked,200,2026-08-25,9,yes,0,
deodap.in,checked,200,2026-08-25,8,yes,0,
jockey.in,checked,200,2026-08-25,9,yes,0,
littleboxindia.com,checked,200,2026-08-25,8,yes,0,
beechtree.pk,checked,200,2026-08-25,9,yes,0,
myoddballs.com,checked,200,2026-08-25,8,yes,0,
istudiosg.com,checked,200,2026-08-25,9,yes,0,
ethnc.com,checked,200,2026-08-25,8,yes,0,
redtape.com,checked,200,2026-08-25,8,yes,0,
